Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
6515,-2472,676,15380,199,-458,517
6527,-2440,1008,15392,143,-273,625
6539,-2496,1240,15352,-145,-272,399
6573,-2672,876,15288,-760,214,294
6585,-2748,800,15236,-719,-28,442
6597,-2804,656,15312,-357,-429,510
6609,-2444,832,15532,-391,-349,615
6621,-2512,920,15708,-549,8,715
6633,-2576,984,15628,-493,60,649
6645,-2464,1128,15668,-192,-77,620
6657,-2156,984,15856,220,52,497
6669,-2276,1420,15612,74,666,646
6681,-2284,1268,15372,-72,833,544
6693,-2812,1060,15120,-32,514,769
6705,-2848,1172,15364,-77,12,744
6717,-2924,1132,15276,-219,-623,610
6729,-2652,1440,15268,-855,-829,621
6742,-2352,1772,15720,-739,-310,-466
6754,-2264,860,15852,-987,764,343
6766,-2864,884,15644,-635,875,475
6778,-3212,884,15804,-231,-302,437
6790,-2588,892,16300,40,-692,482
6802,-2400,1132,16164,621,267,651
6814,-2500,1536,15448,28,726,496
6826,-2836,976,15108,-289,446,63
6838,-2980,776,15112,-244,33,136
6850,-2776,588,15448,-389,367,355
6862,-2924,440,15140,-62,414,610
6874,-2916,680,15208,-32,371,703
6886,-2800,784,15052,-223,407,736
6898,-2516,836,15200,-385,541,744
6910,-2668,804,15120,-628,850,791
6922,-3072,556,15272,-720,537,792
6934,-2912,496,15224,-311,217,896
6946,-2920,564,15188,-27,65,1191
6958,-2716,880,15236,-102,-152,1109
6970,-2364,856,15388,-274,147,1038
6982,-2512,876,15328,-479,530,1154
6994,-2748,1108,15076,-735,612,1161
7006,-2808,868,14952,-632,239,1052
7018,-2600,964,15012,-519,211,1137
7030,-2640,1152,14876,-651,372,1195
7042,-2556,1260,14900,-637,339,1195
7054,-2912,1124,15184,-681,-23,1073
7066,-2864,888,15316,-625,-141,1250
7078,-2976,1024,15152,-268,-179,1425
7090,-2536,1376,14896,-242,-101,1416
7102,-2500,1612,14376,-498,81,1306
7114,-2804,1448,14284,-1017,83,1268
7126,-3272,884,14368,-557,-913,1294
7138,-2796,1128,14884,-47,-1379,1555
7150,-2500,1520,15584,-36,-843,1690
7162,-2724,1668,15596,-107,-611,1706
7174,-2924,1624,15924,37,-1118,1732
7186,-2440,1968,16524,218,-1508,1603
7198,-1816,2244,17060,-44,-492,1299
7210,-2116,2148,16712,-304,416,1086
7222,-2612,1908,16088,-122,-145,601
7234,-2276,1808,16080,-66,-668,73
7246,-2196,1780,15796,-372,-35,-40
7258,-2796,1596,15496,-912,692,-193
7270,-3212,980,14712,-896,595,-291
7282,-3204,1084,14348,-469,130,-201
7294,-3112,1064,14580,-577,33,-114
7306,-2948,724,15068,-500,-4,28
7318,-3092,624,15268,-685,-27,345
7330,-3248,80,14964,-585,87,869
7342,-3028,556,15000,-125,-133,1686
7354,-2760,1232,15148,181,-263,2042
7366,-2400,1804,15424,285,-440,1951
7378,-2096,2180,15440,443,-209,1752
7390,-2072,2448,15172,485,-94,1435
7402,-2092,2528,15208,307,-119,1069
7414,-2380,2192,15776,221,-230,734
7426,-2292,2124,15820,16,8,482
7438,-2624,1880,16004,-362,365,381
7450,-2520,1656,15800,-462,600,262
7462,-2608,1608,15548,-358,797,222
7474,-2720,1704,15468,-347,609,263
7486,-2716,1364,15640,-45,72,211
7498,-2288,1708,15576,214,-79,6
7510,-2344,1888,15536,-380,352,-143
7522,-2564,1404,15312,-901,501,-359
7534,-2392,1164,15204,-592,99,-419
7546,-2136,1316,15420,-643,194,-402
7558,-2640,1452,15376,-833,426,-533
7570,-2808,912,14852,-816,310,-622
7582,-2796,956,14644,-766,138,-505
7594,-2940,1044,14396,-1080,366,-322
7606,-3380,736,14456,-1239,105,-5
7618,-3140,860,14372,-896,-539,222
7630,-2796,1356,14920,-889,-576,390
7642,-2988,1628,15032,-1255,-103,437
7654,-3264,1412,15172,-1491,-128,467
7666,-3444,1060,15108,-1056,-814,563
7678,-2856,1352,15120,-883,-775,769
7690,-2832,1788,14844,-1304,-245,912
7702,-3224,1564,14784,-1639,-450,946
7714,-3204,1480,15004,-1433,-1069,1022
7726,-2680,1672,15240,-1476,-717,1206
7738,-2600,1892,15292,-1887,81,1233
7750,-2972,2012,15020,-2191,-39,1232
7762,-2844,1880,15484,-1997,-690,1043
7774,-2528,2052,16100,-2372,-207,872
7786,-3172,1388,16296,-3026,506,720
7798,-3788,328,16516,-3093,561,877
7810,-4256,-764,16752,-2691,401,1587
7822,-4160,-748,16652,-2021,259,2437
7834,-3400,-200,16784,-1972,791,3072
7846,-3180,-80,16536,-1820,1458,3374
7858,-2944,368,16352,-1545,1907,3334
7870,-3056,380,15720,-1110,1934,3096
7882,-2984,736,15388,-910,1976,2543
7894,-3016,456,14504,-1141,2402,2167
7906,-3352,-252,13932,-1196,2410,2071
7918,-3528,-724,13408,-939,2014,2269
7930,-3088,-936,13152,-1091,1958,2801
7942,-2860,-716,13432,-1491,2045,3348
7954,-2968,-756,13816,-1692,1819,3648
7966,-3132,-600,14116,-872,737,3771
7978,-2532,-160,14480,47,-174,3547
7990,-2184,52,14772,605,-548,3357
8002,-2508,-80,14896,1021,-1188,3005
8014,-2732,-28,14868,1027,-1668,2450
8026,-2700,-92,14848,571,-1251,2140
8038,-3276,-632,14136,-147,-787,1963
8050,-3844,-1040,13616,-447,-890,2106
8062,-4188,-1156,13592,-427,-1364,2556
8074,-4636,-1188,13784,-296,-1903,3082
8086,-4544,-784,14032,249,-2450,3667
8098,-4160,-120,14652,815,-2719,3866
8110,-3740,644,15076,693,-2517,3705
8122,-3764,820,14860,343,-2228,3223
8134,-3864,716,14468,121,-2044,2929
8146,-4036,712,14200,-26,-1939,2728
8158,-4160,524,14324,-441,-1874,2593
8170,-4344,196,14984,-738,-1700,2638
8182,-4560,16,15632,-705,-1523,2618
8194,-4524,-120,16020,-768,-1032,2683
