Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
7985,-3352,2364,15120,-291,177,102
7997,-3384,2472,14880,-518,182,234
8009,-3428,2068,15012,-565,-139,300
8039,-3216,2200,15128,-263,107,364
8051,-3396,2084,14852,-160,111,480
8063,-3144,2192,14824,210,-76,238
8075,-3308,2472,14720,-218,-17,229
8087,-3352,2148,15052,-140,-76,113
8099,-3288,2464,15080,-217,-107,28
8111,-3320,2604,15356,-494,-110,-11
8123,-3444,2372,15068,-516,267,-61
8135,-3548,2216,15012,-410,506,115
8147,-3684,2032,14932,-342,108,360
8159,-3692,1992,15104,43,-470,324
8171,-3548,2568,14984,49,-966,226
8183,-3260,2708,15052,-733,-901,215
8195,-3224,2012,15372,-755,-742,394
8208,-3388,2164,15380,748,1049,1122
8220,-3776,2724,15188,22,424,674
8232,-3284,2412,14960,-191,-265,515
8244,-3184,2504,15272,-2,-452,552
8256,-3192,2672,15612,-113,177,460
8268,-3196,2624,15352,-314,910,230
8280,-3380,2536,14576,-429,986,16
8292,-3712,2008,14624,-575,564,-75
8304,-3852,1676,14452,-594,217,107
8316,-4028,1316,14552,-288,19,565
8328,-3908,1500,14748,79,-318,938
8340,-3668,1912,14928,113,-352,907
8352,-3700,2044,14764,-174,-116,812
8364,-3888,1792,15148,-243,-109,772
8376,-3968,1708,15216,-137,-141,584
8388,-3964,1576,15048,-278,199,648
8400,-4184,1364,14832,-502,444,739
8412,-4416,1164,14792,-364,252,805
8424,-4204,1040,14244,-503,316,851
8436,-4252,1044,14020,-793,353,1315
8448,-4204,1316,14380,-1149,178,1452
8460,-3876,1260,14356,-1307,247,1356
8472,-3816,1572,14704,-1429,639,1403
8484,-4160,1532,14688,-1473,641,1415
8496,-4260,1512,14816,-1121,-178,1615
8508,-3760,1752,14904,-691,-547,1455
8520,-3512,1972,14872,-1002,86,1253
8532,-3884,1892,14648,-1691,621,1204
8544,-3896,1480,14756,-2007,686,1208
8556,-3872,1736,14564,-2132,728,1379
8568,-3940,1868,14708,-2207,394,1647
8580,-3568,2280,14788,-1821,-182,1454
8592,-3080,2944,14776,-1726,-141,1158
8604,-3276,2876,14724,-2003,38,773
8616,-3300,2680,14864,-1748,-194,295
8628,-3156,2980,14744,-2010,26,62
8640,-3200,2708,14780,-2685,444,-87
8652,-3976,2144,15092,-2259,31,322
8664,-3736,2516,15364,-1475,-874,283
8676,-2944,3040,15188,-1518,-443,54
8688,-3224,3136,15200,-2059,240,-283
8700,-3544,2932,15032,-2346,403,-440
8712,-3568,2560,14752,-1996,175,-467
8724,-3484,2856,14800,-1946,91,-412
8736,-3836,2660,14980,-1920,-87,-70
8748,-3792,2484,15720,-1215,-828,247
8760,-3508,3228,15992,-638,-1045,205
8772,-3308,3604,16096,-659,-563,79
8784,-3224,3500,15764,-698,19,-171
8796,-3468,3708,15388,-643,120,-284
8808,-3368,3764,14800,-684,-151,-188
8820,-3244,3884,15284,-850,-492,-310
8832,-2980,3964,15276,-1160,-239,-688
8844,-3132,3728,15380,-1425,289,-982
8856,-3520,3440,15324,-1621,356,-1080
8868,-3416,3048,15100,-1840,355,-1123
8880,-3536,2680,14780,-1916,562,-890
8892,-3516,2756,14892,-1972,628,-539
8904,-3384,2864,14916,-2073,718,-377
8916,-3236,3004,14904,-2323,1072,-307
8928,-3332,2968,14752,-2883,1312,-39
8940,-3656,2348,14732,-3060,984,-95
8952,-3672,1740,14644,-2657,584,182
8964,-3740,1564,14460,-2594,651,1160
8976,-3848,1156,15076,-2283,197,2377
8988,-3680,1384,15992,-1193,-671,3197
9000,-3372,1944,16764,-270,-1023,3932
9012,-3344,2236,17308,1174,-1535,4598
9024,-2588,3000,16924,1797,-1748,4570
9036,-2528,2304,16780,2876,-1966,4431
9048,-2724,2364,16076,3633,-2044,4630
9060,-3072,2748,15468,3068,-2690,5300
9072,-1844,1292,14512,4412,-3424,5078
9084,-2752,1308,14416,5358,-3710,4909
9096,-2908,1300,14124,4778,-3568,5008
9108,-2196,1172,13812,4285,-2681,5080
9120,-2636,1612,13532,4000,-2089,4573
9132,-2816,2008,13588,2437,-1697,3615
9144,-3516,1640,13856,602,-1584,2643
9156,-4004,648,14800,-798,-1909,1960
9168,-4104,-80,15136,-850,-1251,2210
9180,-4160,776,15328,-1017,-486,2752
9192,-3576,1660,15808,-1527,208,2746
9204,-3264,2544,15872,-2646,1510,1893
9216,-3980,2136,15940,-3484,2260,1195
9228,-4676,1632,16172,-2887,1836,662
9240,-4576,1628,15880,-1924,1201,69
9252,-4616,1408,15304,-1930,1545,-249
9264,-5280,800,14920,-2176,1417,-488
9276,-5820,-200,14788,-1704,674,-23
9288,-5700,-720,14692,-440,41,834
9300,-5124,100,14148,688,203,1608
9312,-4768,768,13560,1024,318,1742
9324,-4236,1276,13068,713,684,1628
9336,-4336,912,12964,698,928,1330
9348,-4212,780,12612,1036,887,906
9360,-3848,972,12080,1120,896,382
9372,-3736,1072,11920,618,1219,-109
9384,-3372,1200,11612,-16,1910,-589
9396,-3076,1340,11444,-784,2956,-1135
9408,-3360,1376,11580,-1913,3794,-1711
9420,-3592,984,11148,-3162,4479,-2427
9432,-3640,548,10616,-3901,4995,-2862
9444,-4052,312,9880,-4391,4678,-3220
9456,-4428,568,9000,-5736,3398,-3970
9468,-4000,4,8348,-7159,3072,-4572
9480,-4780,-1084,8796,-7769,3217,-4186
9492,-5960,-2428,10020,-6643,2331,-2823
9504,-6584,-2408,11792,-4329,675,-800
9516,-6176,-1084,13680,-2530,-633,54
9528,-5560,-748,14968,-1210,-432,366
9540,-4988,-208,15068,431,898,671
9552,-4964,700,14152,1462,1722,501
9564,-4644,1236,13328,1214,1090,-479
9576,-4340,1104,13188,280,932,-2035
9588,-4600,-168,13116,-1093,1370,-3144
9600,-5436,-1080,13168,-1457,1780,-2954
9612,-5744,-1320,13088,-1693,2049,-2322
9624,-5076,-740,12848,-1435,2214,-2088
9636,-4272,1192,12876,-2712,3305,-2560
9648,-3580,2604,13016,-4770,4738,-4831
9660,-3436,3124,13352,-6831,5426,-7598
9672,-4120,1268,13336,-6442,6642,-8565
9684,-5832,-304,14752,-5756,7658,-7967
9696,-5928,644,15584,-5216,6104,-7310
9708,-7032,280,17240,-5048,4855,-6305
9720,-7544,-356,18856,-3560,2333,-5781
9732,-7108,-544,19560,-867,1006,-5060
9744,-6120,-196,18264,1717,1161,-4369
9756,-5600,1516,16812,2803,902,-4052
9768,-5604,1780,15576,1548,-329,-4422
9780,-5780,1124,16148,710,-1673,-4436
9792,-6004,476,17320,236,-1882,-4035
9804,-6404,-124,18968,-53,-1732,-3161
9816,-6804,-696,19688,-307,-1363,-2588
9828,-6912,-1788,19628,-296,-1520,-1693
9840,-7156,-2272,20016,609,-2070,236
9852,-7072,-1724,20396,2036,-3384,2207
9864,-6160,-812,20228,3374,-4225,4339
9876,-4692,52,19460,4793,-4714,5979
9888,-3256,1536,18024,5640,-4845,5883
9900,-2204,2424,16896,5036,-4607,4493
9912,-1832,1904,16476,3017,-3697,3513
9924,-1788,812,16736,1881,-3009,3202
9936,-2148,308,17468,1636,-3004,3017
9948,-2684,472,18200,1467,-3047,3109
9960,-2176,824,17956,1650,-2333,2392
9972,-1996,1112,16568,1656,-852,517
9984,-2108,944,13940,372,454,-793
9996,-2684,-196,12120,-785,711,-1244
10008,-3204,-848,11152,-1369,257,-974
10020,-3544,-1044,10824,-1761,-564,-508
10032,-3596,-1040,10948,-1433,-1373,755
10044,-3720,-332,11696,-116,-2206,1838
10056,-3132,896,12780,730,-2666,2174
10068,-2644,1984,13284,945,-2338,1773
10080,-2884,2180,13544,739,-1824,1078
10092,-3180,2100,14300,919,-2144,704
10104,-3256,2384,14672,1234,-2042,38
10116,-2972,2524,14380,1184,-971,-1084
10128,-2988,2620,13556,-243,906,-2116
10140,-3512,1188,13084,-1729,2166,-2307
10152,-4044,740,13152,-2157,1973,-2340
10164,-4084,740,13900,-2598,1800,-1690
10176,-4004,1040,14664,-2948,2559,-1212
10188,-3384,1284,14548,-2495,4291,-1104
10200,-3988,1532,14332,-2680,5724,-455
10212,-4772,664,13312,-1276,5198,89
10224,-5276,124,11676,1919,1973,1061
10236,-4108,1132,10352,4533,-587,1676
10248,-3408,2336,8960,4674,-1141,1587
10260,-2904,2744,8012,2051,-395,996
10272,-2532,1808,8532,-1783,588,1348
10284,-4476,-76,10732,-4234,68,2682
10296,-4856,-524,13188,-3616,-1484,3275
10308,-3544,928,14936,-3368,-585,3813
10320,-3216,2332,16116,-4681,1739,3178
10332,-4100,1624,17084,-5871,2922,1016
10344,-4896,-352,17392,-6460,2961,341
10356,-6216,-2668,18116,-4787,1694,1608
10368,-7108,-3648,19232,-1774,-70,3714
10380,-6432,-2448,18916,1798,-792,4817
10392,-5360,156,17092,2580,390,4912
10404,-5016,1684,15548,1107,1430,3959
10416,-5448,1912,14392,-303,1308,2486
10428,-6140,1712,13772,-1169,176,773
10440,-6420,760,14428,-1590,-1389,495
10452,-5620,-404,16148,-1511,-2090,1101
10464,-5624,-1040,18756,-631,-2596,2353
10476,-6016,-1200,20628,1612,-4032,2921
10488,-5448,-340,20532,3701,-5214,3531
10500,-4240,764,19136,5058,-6122,3283
10512,-2788,1716,17540,5148,-6507,1842
10524,-2288,1792,15964,3729,-6323,-177
10536,-2776,264,14664,1963,-6170,-1942
10548,-2876,-1816,14164,1031,-6037,-2125
10560,-3944,-2760,14836,1922,-6538,-856
10572,-4772,-1876,15716,3412,-7437,226
10584,-4136,-232,16192,4728,-7502,620
10596,-2552,1824,15276,4195,-5461,-473
10608,-1936,2660,13880,2003,-2555,-2218
10620,-2652,1788,12512,-45,-263,-4043
10632,-3332,532,11332,-1294,919,-4729
10644,-3576,-644,10220,-1754,1289,-4678
10656,-3908,-1188,10132,-2389,941,-4221
10668,-4436,-2132,10928,-3587,210,-3762
10680,-5208,-3280,12192,-4060,-607,-2497
10692,-4852,-4304,13932,-2404,-1467,-423
10704,-3920,-3004,15248,-250,-966,1408
10716,-2956,-1188,16100,924,133,2162
10728,-2360,344,15784,1325,681,1793
10740,-2040,972,15276,1589,1154,1136
10752,-1712,1460,14788,1654,1435,130
10765,-728,2208,13612,735,2721,-1767
10777,-544,1620,12784,-1756,4818,-3530
10789,-1572,-232,12976,-3704,5458,-4495
10801,-3608,-1940,13792,-4612,5457,-4975
10813,-4780,-3244,14308,-4540,4949,-4039
10825,-4248,-3356,14632,-3395,4701,-2692
10837,-3600,-1940,14620,-2602,5402,-1985
10849,-3784,-212,14552,-3384,5185,-2197
10861,-3592,-160,15328,-5150,4591,-2421
10873,-3860,-832,17204,-6239,4382,-1377
10885,-5276,-1300,19632,-5574,3334,-112
10897,-6320,-1664,20428,-3502,1498,682
10909,-4864,-824,19536,-139,1855,2124
10921,-3488,1184,18556,480,3570,3436
10933,-2484,2460,18344,-1232,4227,3198
10945,-2820,1984,17976,-3334,3724,1774
